CD_MemberList_LogSize,CD_MemberList_Size,name,shared name
3.322,10,C6646,C6646
3.322,10,C6647,C6647
3.322,10,C6648,C6648
3.322,10,C6649,C6649
3.322,10,C6650,C6650
3.17,9,C6651,C6651
3.17,9,C6652,C6652
3.17,9,C6653,C6653
3.17,9,C6654,C6654
3.17,9,C6655,C6655
3.0,8,C6656,C6656
3.0,8,C6657,C6657
2.807,7,C6658,C6658
2.585,6,C6659,C6659
2.585,6,C6660,C6660
2.585,6,C6661,C6661
2.0,4,C6662,C6662
1.0,2,C6663,C6663
